****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 7 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 64x1560164
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 16.417	Loglikelihood: -8.3682e+07	(delta): 5.5014e+07
2 (EM) 	Elapsed: 16.393	Loglikelihood: -7.98633e+07	(delta): 3.81863e+06
3 (EM) 	Elapsed: 16.502	Loglikelihood: -7.88259e+07	(delta): 1.03741e+06
4 (EM) 	Elapsed: 16.463	Loglikelihood: -7.81305e+07	(delta): 695455
5 (EM) 	Elapsed: 16.471	Loglikelihood: -7.75754e+07	(delta): 555099
Initial loglikelihood: -7.75754e+07
Starting main algorithm
1 (QN/Block) 	Elapsed: 36.529	Loglikelihood: -7.37967e+07	(delta): 3.77869e+06
2 (QN/Block) 	Elapsed: 36.312	Loglikelihood: -7.30057e+07	(delta): 790942
3 (QN/Block) 	Elapsed: 40.276	Loglikelihood: -7.24382e+07	(delta): 567543
4 (QN/Block) 	Elapsed: 40.143	Loglikelihood: -7.20002e+07	(delta): 437954
5 (QN/Block) 	Elapsed: 40.068	Loglikelihood: -7.1717e+07	(delta): 283194
6 (QN/Block) 	Elapsed: 39.597	Loglikelihood: -7.15228e+07	(delta): 194242
7 (QN/Block) 	Elapsed: 39.616	Loglikelihood: -7.13525e+07	(delta): 170255
8 (QN/Block) 	Elapsed: 39.328	Loglikelihood: -7.12961e+07	(delta): 56441.4
9 (QN/Block) 	Elapsed: 39.419	Loglikelihood: -7.12554e+07	(delta): 40749.8
10 (QN/Block) 	Elapsed: 39.689	Loglikelihood: -7.12251e+07	(delta): 30297.8
11 (QN/Block) 	Elapsed: 39.772	Loglikelihood: -7.12063e+07	(delta): 18778.5
12 (QN/Block) 	Elapsed: 40.036	Loglikelihood: -7.11782e+07	(delta): 28028.6
13 (QN/Block) 	Elapsed: 41.031	Loglikelihood: -7.11653e+07	(delta): 12973.7
14 (QN/Block) 	Elapsed: 40.036	Loglikelihood: -7.11635e+07	(delta): 1790.83
15 (QN/Block) 	Elapsed: 39.554	Loglikelihood: -7.11612e+07	(delta): 2300.97
16 (QN/Block) 	Elapsed: 39.225	Loglikelihood: -7.11561e+07	(delta): 5106.62
17 (QN/Block) 	Elapsed: 40.569	Loglikelihood: -7.11476e+07	(delta): 8504.79
